price_id,commodity,price_date,region,country,price_usd_per_kg,currency,unit,source,is_imputed,ingested_at
21c34ff9245babdff5526929752bdbd9,rice,2026-08-01,global,global,0.471000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
a0a71143f4acaee4c3eaec07a7286b07,cotton,2026-08-01,global,global,2.110000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
8edb40dc6753fe4c53fb7f9fb1540f97,coffee,2026-08-01,global,global,7.970000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
3134f13a903509f7804284f1541dd9f9,cocoa,2026-08-01,global,global,5.950000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
1046bd7f54b2deaf2f0ecdf5cff0e04d,rice,2026-07-01,global,global,0.467000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
d93c34f6512ef9aa39382c92c3cf26ab,cotton,2026-07-01,global,global,1.960000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
63a3bedf8a3e0523fbfdccbbf154929a,coffee,2026-07-01,global,global,7.910000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
c98d2576c32092b260878e00edfd9b87,cocoa,2026-07-01,global,global,5.610000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
7b359031af89d6fe4115c5c7867988d1,rice,2026-06-01,global,global,0.494000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
38fc1b69bfb83d88d3f87e2784337268,cotton,2026-06-01,global,global,1.900000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
4d84d81fe27d67f4ef4b42c9fee31839,coffee,2026-06-01,global,global,6.790000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
84bc1e005725ffa5287a31355f99d4a9,cocoa,2026-06-01,global,global,4.400000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
f8942d95e058742ad0113646108a4fc6,rice,2026-05-01,global,global,0.440000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
317f78fdf4f4c062debc6f5f4798d2b5,cotton,2026-05-01,global,global,2.030000,USD,kg,WORLD_BANK,false,2026-09-23T15:22:37Z
